paperId,venue
9d05c64476825a47b19194d13a1d22fe3b30bfdc,
aa57b9bdb0736cbb38abf0a9d12047212c2a2425,IEEE Transactions on Pattern Analysis and Machine Intelligence
4b860ef286d6df5d23ef1c67b7ee564965a8ea82,
3357a64e926580509b9acfbd171165faa3814b79,Journal of Vision
69797daa0c049eafcdc75d6bfe4195e13dff5769,
123d17ddd44bbb7bab8b97bd8a02fabf25164e06,Annual Meeting of the Cognitive Science Society
54a4314922eb42f277cda9e65f981065fe220d7a,
31ec6272e05609f9f22173853df294203474a575,Nebraska Symposium on Motivation. Nebraska Symposium on Motivation
76bca67f426ababe19e01dd2fa3192b7fd58dd36,
9b3772acfea94b7f719dfca446c90176552d442e,Image and Vision Computing
9140df2588897b8493067834145e0ae18bb24ea3,
0e4dc1205d409317870ae7f6c5a945560ad6ec43,
f53fb244fca989142aba664ddc01191f89215a22,
0d9d96e83ec3749ead072ea51129ef258017cdf7,
a7c250563c1db47e0fa29e497a189e1a23577424,Scholarpedia
774f5c45abb649e2a426f75d3be3c2311b15dc56,
9625a929ae61f9b05b215456c2b7e7fae581759d,
aa1ea2388753c41275a0ef5fe910b191df593d19,
355eb97d3cc3fb72dbf2ece8ab20ec9fd79a8fb8,
3b05b0c34f443340acc9041af8a7121f1f1acda9,Egyptian Informatics Journal
a196ab515bd88420c082d91eb6572b9a4ee230da,IEEE International Conference on Computer Vision
652019c1b9da33d2c4046d57e2b81a73cbbe1c35,arXiv.org
8212a2707afdb3f8a3943abc939cd4e6db9aa332,
429c16f5e31d90fc3957c5dd3f7d3e5f95de1eda,Journal of Research in Science and Engineering
ac4d9f04192df411fcad8b6e45f7ad108b3bf996,Buildings
ae7a13993bf3bde14f70cea9c3f00c02b0d50697,Archnet-IJAR
32e5d224a3b2978c7c9f8b281616bc5efc94356c,Journal of Asian Architecture and Building Engineering
5b575cdbf4069eb5ade5c85b774a90686a443573,Journal of Vision
4fe9633d2ee7b92f92efe51df29310935033def5,Journal of Neuroscience
964762fe1c0592904c67c819c470f0128af26d58,Experimental Brain Research
6b9968b1a60bb2533c7175a85c38814ef75f25e5,arXiv.org
56ea87dd1c2e6ccf27e4cd93cc77faa619442339,Knowledge-Based Systems
6325b0d3bde421bc82cf85de9e818cdad792fc8b,Transportation Research Part F: Traffic Psychology and Behaviour
7ecfd559881e5b20a341b9d389c8a56665c23c3e,Scientific Reports
6d8d17d316cd84325a11b82eb0c43104bb04f436,Scientific Reports
6f47157bbc3d9df948a5907ff5e5fabaf01b465f,Transactions on GIS
89eb7ca167340a04e4c433b29a985deeb1c2c4a7,Annals of the American Association of Geographers
ef73f07c02331e2b0e21d2c562b23effc7764eeb,Multimodal Technologies and Interaction
bb4fdaf181a43b11e0b49ab2afb42a49fcc6c25c,Geo-Spatial Information Science
a8e7883017f0259d68e3c729c46b306398f69dd1,AKSELERASI: Jurnal Ilmiah Nasional
6aca9e052a9778e56e1a7323bb6f8fe55976ba40,Digit.
9eb86af39d0d5074e1270f46e4236cecbc8952f8,Cartography and Geographic Information Science
744d75e004617c9fc49db2d7af281402534e9888,ISPRS Int. J. Geo Inf.
19eae50a8451f1f3382a7f9edcd386069bc5d316,Environmental impact assessment review
972acf3aad39a3b2de802a85745490c061fb3457,Sustainability
2b5eba4b4829895905896c5866b8acbe06a658ca,Building Simulation
da95b20a5022c87920f28a17c19881a12ae5a8b4,Buildings
47ae8688bbb0f9beb44987f3ab3b78d3bda44e3c,Applied Mathematics and Nonlinear Sciences
c27ad4eaf9cbae9c89ac50819d8ddce56293ba61,Buildings
bc0f6498c92033536af9bec372650bc1f4f4d4d6,Sustainability
9625aa836aff318def109038978beb5710705d15,"TRANSPORT, ECOLOGY, SUSTAINABLE DEVELOPMENT: EKO VARNA 2023"
790a02924a3938ee9981c7ccdee186c41edce94c,"International Conference on Geographical Information Systems Theory, Applications and Management"
ed183d79f67f9fa909a6773631a061cff47f8c33,Psychonomic Bulletin & Review
726e9019e349f47c5f879e4c840262fc735eeb24,Cognition
110b90dbb891563c6e2be4dd4769ccffca9bd452,"Attention, perception & psychophysics"
8eb6ccada66a5a4cb64d62768ce051108d4b2bf7,Vision Research
118b5e7c265d94e9dab9498f1e66d0795967cb63,"Attention, perception & psychophysics"
afa47e2019059d4eeae1edf4c68db13e533b6da0,Trends in Cognitive Sciences
6a03a059bf3001773a90ae643e512a410c1b786c,"Attention, Perception, & Psychophysics"
3570b816b23184e7f46ad87e27416e0c051780fd,Symposium on Dependable Autonomic and Secure Computing
d456477ed5f51ce6c2e87b291e240e6a58ffed07,Medical and Biological Engineering and Computing
ede20a311cf189de3c022cf9c52a8db74de92bf3,Journal of research in health sciences
cf9952234ed70584fdcf54ea161b0543bf969d51,Biomedical Signal Processing and Control
0d5cc1eff7d0ef30efb28168007559608d02ff9a,ICMI Companion
